flex1,flex2,flex3,flex4,flex5,x,y,z,face,SIGN
1,1,1,313,1889,253.31,34.13,-52.25,0.004,Không Thích
-1,0,2,158,1888,240.12,52.25,-64.12,0.003,Không Thích
2,2,1,44,1889,221.87,85.44,-79.69,0.001,Không Thích
2,1,0,16,1888,213.06,-178.94,-84.62,0.004,Không Thích
-1,1,1,149,1889,213.31,175.62,-83.19,0.003,Không Thích
1,2,1,50,1889,210.69,94.37,-81.44,0.001,Không Thích
3,2,1,608,1888,220.69,80.0,-52.56,0.002,Không Thích
-1,2,9,1305,1888,273.69,87.44,-7.31,0.002,Không Thích
-1,2,45,294,1921,333.0,72.62,28.19,0.002,Không Thích
1,0,65,65,1905,10.19,39.81,28.5,0.005,Không Thích
24,77,379,585,1889,41.31,35.0,10.44,0.002,Không Thích
2,1,1,0,1889,45.69,39.25,13.06,0.004,Không Thích
1,1,1,902,1889,36.88,36.94,13.63,0.003,Không Thích
1,1,1,297,1888,34.5,37.0,21.06,0.003,Không Thích
1,2,1,754,1888,35.88,38.0,21.5,0.003,Không Thích
40,2,1,338,1888,45.44,37.94,13.56,0.001,Không Thích
11,2,2,161,1888,44.94,39.0,15.56,0.003,Không Thích
0,1,1,2,1889,32.75,34.13,15.38,0.001,Không Thích
0,1,2,0,1889,4.37,37.81,20.81,0.003,Không Thích
0,1,1,0,1888,315.5,49.0,14.5,0.001,Không Thích
1,1,1,1,1888,274.44,49.06,-10.94,0.003,Không Thích
1,1,1,1,1888,247.5,60.88,-44.25,0.004,Không Thích
1,3,2,229,1888,222.94,79.0,-76.06,0.002,Không Thích
-1,0,2,392,1888,207.5,86.81,-81.37,0.003,Không Thích
0,2,1,35,1888,214.12,72.62,-62.75,0.001,Không Thích
0,1,1,3,1888,232.87,71.62,-38.69,0.002,Không Thích
0,2,-1,0,1889,276.56,76.94,-5.44,0.002,Không Thích
-1,1,2,7,1888,341.62,61.5,26.31,0.002,Không Thích
0,1,2,0,1889,16.44,39.94,29.44,0.001,Không Thích
0,0,1,5,1905,30.56,29.87,22.5,0.004,Không Thích
47,2,0,39,1889,44.88,36.44,19.69,0.004,Không Thích
0,1,1,0,1889,43.75,36.75,20.5,0.003,Không Thích
0,2,1,1,1888,37.19,35.5,21.62,0.004,Không Thích
0,0,1,0,1889,42.38,38.75,18.87,0.004,Không Thích
1,2,1,1,1888,20.31,42.13,20.0,0.001,Không Thích
0,2,1,1,1889,335.94,49.63,13.81,0.002,Không Thích
3,1,1,1,1888,294.5,66.12,1.75,0.002,Không Thích
0,1,193,2,1889,255.31,67.94,-24.56,0.004,Không Thích
1,1,29,2,1889,234.5,67.0,-48.44,0.002,Không Thích
2,1,623,16,1889,209.25,86.56,-75.25,0.002,Không Thích
1,1,3,225,1889,197.31,103.87,-79.5,0.003,Không Thích
0,2,1,418,1888,197.12,95.62,-71.94,0.004,Không Thích
0,1,1,295,1888,218.94,84.31,-46.81,0.004,Không Thích
0,1,2,416,1905,274.75,84.37,-7.37,0.005,Không Thích
2,2,22,466,1889,337.62,69.87,25.75,0.005,Không Thích
2,1,67,21,1888,13.94,40.44,25.87,0.003,Không Thích
18,150,1,10,1888,40.75,37.31,15.69,0.003,Không Thích
1,3,1,21,1888,45.13,39.81,16.12,0.003,Không Thích
1,3,1,1,1889,40.25,38.19,17.12,0.002,Không Thích
0,0,1,41,1889,34.0,37.31,20.06,0.002,Không Thích
1,2,1,4,1888,40.94,36.38,16.31,0.002,Không Thích
6,2,2,0,1889,45.5,39.31,16.37,0.002,Không Thích
0,2,0,30,1888,37.06,36.44,17.75,0.003,Không Thích
0,1,0,1,1888,16.44,34.0,21.94,0.002,Không Thích
1,0,281,1,1889,340.56,38.63,20.5,0.001,Không Thích
1,2,1,1,1888,298.19,42.94,6.81,0.003,Không Thích
1,2,453,32,1889,264.31,37.56,-22.87,0.003,Không Thích
1,1,2,2,1888,239.75,55.75,-48.63,0.003,Không Thích
1,1,1,5,1888,204.62,78.37,-80.06,0.002,Không Thích
1,2,1,1,1889,201.94,73.62,-80.87,0.004,Không Thích
0,2,1,2,1888,204.69,76.0,-72.81,0.003,Không Thích
1,2,1,1,1888,216.69,76.37,-54.94,0.002,Không Thích
1,1,2,2,1888,251.69,80.81,-23.56,0.004,Không Thích
1,1,0,0,1888,298.44,79.37,5.87,0.004,Không Thích
0,1,1,2,1889,344.81,60.13,26.62,0.002,Không Thích
0,1,1,1,1889,18.0,38.94,25.44,0.003,Không Thích
29,1,1,6,1888,47.13,39.25,20.87,0.004,Không Thích
1,0,1,-1,1889,45.5,40.56,20.12,0.003,Không Thích
0,2,1,0,1889,35.5,36.63,20.25,0.005,Không Thích
1,1,1,0,1888,34.25,34.25,23.0,0.005,Không Thích
230,1,0,1,1889,47.94,38.25,20.0,0.002,Không Thích
1,1,2,2,1888,39.5,34.75,20.12,0.006,Không Thích
0,1,0,1,1889,16.44,34.5,26.5,0.0,Không Thích
0,1,18,0,1888,334.81,59.38,32.88,0.001,Không Thích
0,3,1,2,1889,282.31,64.25,10.25,0.001,Không Thích
2,2,698,1,1888,254.06,58.69,-19.75,0.001,Không Thích
0,1,23,2,1888,233.87,59.38,-52.75,0.001,Không Thích
0,1,2,1,1888,217.12,69.37,-75.0,0.004,Không Thích
0,1,1,2,1889,220.0,70.25,-73.06,0.003,Không Thích
0,0,2,2,1889,218.69,70.81,-62.69,0.002,Không Thích
2,0,1,2,1889,241.62,75.62,-34.63,0.004,Không Thích
0,1,1,0,1889,288.5,80.5,2.5,0.002,Không Thích
0,1,2,3,1889,341.12,65.44,28.56,0.002,Không Thích
1,2,1,2,1889,14.06,40.69,26.62,0.002,Không Thích
167,1,1,400,1888,39.69,35.5,17.94,0.001,Không Thích
0,1,1,1,1888,45.94,39.5,20.37,0.002,Không Thích
0,1,0,1,1888,34.69,38.31,20.81,0.003,Không Thích
2,1,1,0,1889,27.62,35.56,26.56,0.002,Không Thích
1,0,1,1,1889,40.81,33.94,19.56,0.001,Không Thích
-1,1,1,2,1888,31.87,34.38,23.06,0.001,Không Thích
1,1,1,0,1888,1.5,33.81,27.94,0.001,Không Thích
-1,0,0,2,1889,318.25,49.56,30.31,0.001,Không Thích
2,2,0,184,1889,277.25,50.5,10.56,0.001,Không Thích
0,1,1,37,1888,250.94,51.69,-15.75,0.002,Không Thích
1,1,2,2,1888,222.19,59.38,-50.13,0.002,Không Thích
-1,1,1,1,1889,195.44,60.5,-82.31,0.001,Không Thích
0,2,2,0,1888,189.81,69.5,-77.75,0.002,Không Thích
0,0,2,2,1888,193.31,71.0,-70.37,0.001,Không Thích
0,1,0,2,1888,215.5,80.87,-50.69,0.001,Không Thích
1,1,1,2,1889,268.94,89.62,-11.75,0.001,Không Thích
2,1,0,0,1888,330.94,84.0,23.5,0.001,Không Thích
-1,2,-1,1,1889,11.19,52.25,33.88,0.001,Không Thích
1,2,1,1,1888,27.94,35.88,26.25,0.001,Không Thích
2,1,1,38,1905,40.56,36.38,19.12,0.001,Không Thích
3,2,1,17,1889,40.88,36.88,19.5,0.002,Không Thích
0,1,2,11,1888,35.31,35.63,22.5,0.001,Không Thích
0,2,2,4,1889,35.06,32.25,21.69,0.002,Không Thích
-1,3,0,123,1889,42.44,37.38,20.31,0.001,Không Thích
1,2,1,22,1889,36.13,36.69,19.37,0.001,Không Thích
0,1,1,159,1889,10.25,32.25,15.13,0.001,Không Thích
0,1,0,43,1888,326.19,32.81,5.56,0.001,Không Thích
0,1,0,41,1888,289.62,38.31,-10.31,0.001,Không Thích
1,2,1,1,1889,265.31,43.94,-33.06,0.002,Không Thích
1,2,0,903,1889,237.94,61.13,-57.44,0.002,Không Thích
-1,0,1,487,1889,215.0,84.31,-80.87,0.001,Không Thích
0,2,1,811,1888,221.06,73.81,-74.56,0.001,Không Thích
1,1,1,227,1904,219.06,86.31,-72.81,0.002,Không Thích
1,1,0,1,1888,226.12,81.37,-63.56,0.002,Không Thích
1,2,1,0,1889,248.12,83.5,-31.75,0.001,Không Thích
1,1,-1,1,1888,311.06,87.5,13.44,0.001,Không Thích
1,2,1,2,1889,359.37,63.25,34.56,0.002,Không Thích
0,0,1,1,1888,22.44,40.75,29.75,0.001,Không Thích
2,1,2,371,1888,41.19,31.75,18.25,0.002,Không Thích
1,0,1,563,1888,49.75,33.31,11.75,0.002,Không Thích
0,1,1,804,1888,44.44,35.69,11.19,0.004,Không Thích
1,1,2,484,1889,36.06,34.31,12.31,0.001,Không Thích
0,2,2,137,1889,40.81,32.13,12.06,0.003,Không Thích
0,0,0,2,1888,47.06,36.13,13.06,0.003,Không Thích
0,2,1,1,1889,36.25,33.0,15.31,0.004,Không Thích
0,1,1,1,1888,10.44,36.31,19.12,0.003,Không Thích
0,1,2,1,1889,323.81,52.19,12.63,0.003,Không Thích
2,1,2,3,1889,282.75,63.94,-12.75,0.004,Không Thích
-1,2,14,55,1889,251.87,70.94,-38.5,0.003,Không Thích
0,1,3,415,1889,216.37,93.06,-67.44,0.001,Không Thích
-2,1,1,78,1888,212.0,127.19,-75.87,0.002,Không Thích
-2,2,1,119,1888,212.94,117.06,-73.25,0.003,Không Thích
0,0,1,1,1889,215.94,93.0,-66.44,0.004,Không Thích
2,1,2,13,1889,227.19,74.44,-43.13,0.002,Không Thích
0,1,1,2,1889,263.87,74.19,-11.94,0.003,Không Thích
15,1,1,1,1889,322.44,73.44,23.94,0.002,Không Thích
237,1,2,0,1889,1.25,49.5,34.44,0.002,Không Thích
0,2,2,1,1888,22.12,32.56,23.62,0.001,Không Thích
0,1,1,349,1889,36.5,28.44,10.31,0.002,Không Thích
0,12,48,88,1888,36.38,31.19,10.31,0.002,Không Thích
1,4,1,124,1888,28.62,30.75,15.63,0.003,Không Thích
0,1,1,101,1889,26.19,32.56,17.81,0.003,Không Thích
1,2,0,174,1889,37.44,31.19,12.19,0.002,Không Thích
2,1,1,6,1888,36.31,32.13,14.19,0.001,Không Thích
2,1,0,2,1888,18.5,28.56,17.44,0.002,Không Thích
0,2,2,2,1888,346.0,30.69,18.56,0.001,Không Thích
1,1,1,1,1888,312.56,41.63,12.0,0.002,Không Thích
0,1,0,2,1888,279.87,47.19,-6.94,0.003,Không Thích
0,3,1,1,1889,258.75,51.63,-31.87,0.004,Không Thích
52,1,0,1,1889,236.37,74.31,-49.56,0.004,Không Thích
1,1,2,8,1889,205.44,99.19,-67.75,0.003,Không Thích
0,45,1,5,1888,206.75,103.06,-69.69,0.003,Không Thích
1,2,1,6,1888,212.19,96.62,-61.5,0.003,Không Thích
2,0,0,0,1889,231.31,87.56,-43.81,0.001,Không Thích
1,1,2,2,1888,282.75,79.75,-8.38,0.002,Không Thích
1,1,1,233,1889,338.25,74.06,28.25,0.002,Không Thích
0,0,-1,191,1889,13.56,48.25,35.25,0.001,Không Thích
0,1,1,139,1888,29.06,34.94,22.87,0.003,Không Thích
114,1,1,128,1888,47.13,36.69,13.63,0.002,Không Thích
1,2,1,2,1888,46.44,37.25,14.0,0.005,Không Thích
0,1,1,0,1889,39.63,35.31,15.88,0.004,Không Thích
1,1,1,0,1889,34.63,36.75,21.5,0.003,Không Thích
0,1,0,23,1888,39.63,34.81,17.37,0.001,Không Thích
1,2,0,2,1888,42.56,35.75,16.56,0.001,Không Thích
1,1,0,1,1888,36.0,32.44,17.44,0.003,Không Thích
1,1,1,1,1889,13.94,28.0,26.0,0.001,Không Thích
-1,2,-1,0,1889,336.19,33.69,26.62,0.003,Không Thích
2,1,1,1,1889,294.44,38.0,12.31,0.004,Không Thích
1,2,2,155,1888,267.37,45.13,-11.5,0.002,Không Thích
0,1,1,2,1888,248.81,57.63,-31.5,0.003,Không Thích
121,1,1,0,1888,228.87,68.37,-55.75,0.002,Không Thích
946,3,2,28,1888,211.44,104.12,-74.75,0.004,Không Thích
1,1,2,4,1888,211.19,105.44,-74.25,0.004,Không Thích
0,1,0,140,1888,211.44,96.94,-69.31,0.002,Không Thích
2,0,1,110,1888,216.69,85.06,-59.31,0.0,Không Thích
2,2,1,33,1888,236.87,81.75,-35.94,0.003,Không Thích
0,0,1,1,1889,273.56,80.69,-5.62,0.004,Không Thích
0,2,1,1,1888,327.44,74.69,24.5,0.003,Không Thích
1,3,2,1,1889,13.06,50.69,29.37,0.003,Không Thích
1,2,1,27,1888,34.06,40.06,17.69,0.002,Không Thích
1,2,2,10,1889,41.44,40.44,14.69,0.003,Không Thích
0,1,2,1,1889,37.63,38.88,15.56,0.004,Không Thích
0,1,1,1,1889,31.44,39.0,21.37,0.003,Không Thích
1,2,1,1,1888,32.0,37.63,22.19,0.003,Không Thích
218,1,1,0,1889,43.38,39.94,18.44,0.004,Không Thích
23,2,2,2,1889,43.13,42.25,21.44,0.003,Không Thích
1,0,2,1,1888,35.38,40.25,24.44,0.002,Không Thích
0,0,0,2,1888,8.75,41.31,26.31,0.004,Không Thích
1,2,1,1,1889,329.0,51.25,18.81,0.003,Không Thích
1,0,0,0,1888,290.44,53.31,-1.0,0.003,Không Thích
1,0,19,-1,1889,264.12,55.88,-24.69,0.002,Không Thích
0,1,2,1,1889,244.12,66.62,-42.63,0.004,Không Thích
1146,3,2,2,1888,216.62,83.25,-68.0,0.002,Không Thích
1593,2,1,9,1888,205.31,117.0,-76.5,0.002,Không Thích
1,1,1,46,1889,203.94,98.87,-73.94,0.003,Không Thích
1,1,1,15,1888,207.81,85.81,-67.0,0.002,Không Thích
1,1,1,13,1889,226.44,76.06,-47.0,0.003,Không Thích
0,1,0,0,1889,253.0,79.25,-20.56,0.003,Không Thích
-1,2,1,2,1888,294.87,75.44,8.31,0.004,Không Thích
0,1,1,0,1889,332.69,61.56,24.25,0.005,Không Thích
2,1,1,1,1888,0.44,45.19,26.75,0.01,Không Thích
0,1,1,1,1888,23.87,36.56,19.0,0.003,Không Thích
