flex1,flex2,flex3,flex4,flex5,imu_x,imu_y,imu_z,SIGN
0.0017094017094017094,0.002442002442002442,0.003418803418803419,0.0007326007326007326,0.006837606837606838,325.87,-42.06,35.75,pink4
0.0014652014652014652,0.002442002442002442,0.0031746031746031746,0.0007326007326007326,0.0,325.94,-42.06,35.94,pink4
0.0014652014652014652,0.002442002442002442,0.0029304029304029304,0.0007326007326007326,0.00463980463980464,325.81,-42.19,35.94,pink4
0.001221001221001221,0.002442002442002442,0.0029304029304029304,0.0004884004884004884,0.00805860805860806,325.69,-42.25,36.31,pink4
0.001221001221001221,0.002197802197802198,0.0029304029304029304,0.0004884004884004884,0.002442002442002442,325.62,-42.06,36.81,pink4
0.0014652014652014652,0.0019536019536019536,0.0031746031746031746,0.0002442002442002442,0.0017094017094017094,325.5,-42.0,37.63,pink4
0.0014652014652014652,0.0017094017094017094,0.0031746031746031746,0.0,0.004395604395604396,325.44,-42.06,38.13,pink4
0.0017094017094017094,0.0014652014652014652,0.003418803418803419,0.0002442002442002442,0.006593406593406593,325.5,-42.0,38.5,pink4
0.0017094017094017094,0.0014652014652014652,0.003418803418803419,0.0002442002442002442,0.009035409035409036,325.75,-41.81,38.94,pink4
0.0019536019536019536,0.001221001221001221,0.003418803418803419,0.0002442002442002442,0.011965811965811967,325.94,-41.63,39.44,pink4
0.0019536019536019536,0.001221001221001221,0.003418803418803419,0.0002442002442002442,0.015384615384615385,326.12,-41.5,39.63,pink4
0.002197802197802198,0.001221001221001221,0.0031746031746031746,0.0002442002442002442,0.017582417582417582,326.0,-41.38,39.88,pink4
0.002197802197802198,0.001221001221001221,0.0031746031746031746,0.0002442002442002442,0.01904761904761905,325.94,-41.38,40.0,pink4
0.002197802197802198,0.0014652014652014652,0.002686202686202686,0.0002442002442002442,0.018070818070818073,325.87,-41.5,40.25,pink4
0.002197802197802198,0.0014652014652014652,0.002197802197802198,0.0,0.013675213675213675,325.87,-41.44,40.25,pink4
0.002197802197802198,0.0014652014652014652,0.0019536019536019536,0.0,0.007081807081807082,325.81,-41.38,40.25,pink4
0.0019536019536019536,0.0017094017094017094,0.0017094017094017094,0.0,0.0,325.81,-41.38,40.19,pink4
0.0019536019536019536,0.0017094017094017094,0.0014652014652014652,0.0,0.00463980463980464,325.87,-41.5,40.19,pink4
0.0019536019536019536,0.0019536019536019536,0.0014652014652014652,0.0,0.00927960927960928,325.94,-41.75,40.25,pink4
0.0019536019536019536,0.0019536019536019536,0.0014652014652014652,0.0,0.012454212454212455,325.94,-41.81,40.31,pink4
0.0017094017094017094,0.0019536019536019536,0.0014652014652014652,0.0,0.014652014652014652,325.94,-41.69,40.25,pink4
0.0017094017094017094,0.0017094017094017094,0.0014652014652014652,0.0002442002442002442,0.01514041514041514,326.06,-41.56,40.44,pink4
0.0019536019536019536,0.0017094017094017094,0.0014652014652014652,0.0002442002442002442,0.008547008547008548,326.0,-41.56,40.63,pink4
0.002197802197802198,0.0014652014652014652,0.0014652014652014652,0.0004884004884004884,0.002686202686202686,325.94,-41.5,40.75,pink4
0.002442002442002442,0.0014652014652014652,0.0014652014652014652,0.0004884004884004884,0.0014652014652014652,325.75,-41.38,40.63,pink4
0.002442002442002442,0.001221001221001221,0.0014652014652014652,0.0007326007326007326,0.005616605616605617,325.81,-41.44,40.5,pink4
0.002686202686202686,0.0009768009768009768,0.0014652014652014652,0.0007326007326007326,0.008547008547008548,326.06,-41.31,40.63,pink4
0.002686202686202686,0.0007326007326007326,0.0014652014652014652,0.0007326007326007326,0.010500610500610501,326.06,-41.25,40.63,pink4
0.0029304029304029304,0.0007326007326007326,0.0017094017094017094,0.0007326007326007326,0.012942612942612943,325.94,-41.25,40.56,pink4
0.0031746031746031746,0.0004884004884004884,0.0017094017094017094,0.0007326007326007326,0.01611721611721612,325.94,-41.31,40.69,pink4
0.0031746031746031746,0.0004884004884004884,0.0019536019536019536,0.0007326007326007326,0.018070818070818073,326.06,-41.19,40.81,pink4
0.003418803418803419,0.0002442002442002442,0.0017094017094017094,0.0007326007326007326,0.019536019536019536,326.0,-41.25,40.75,pink4
0.003418803418803419,0.0,0.0017094017094017094,0.0007326007326007326,0.020757020757020756,325.94,-41.31,40.88,pink4
0.003418803418803419,0.0,0.0014652014652014652,0.0007326007326007326,0.02148962148962149,325.87,-41.38,41.0,pink4
0.003418803418803419,0.0002442002442002442,0.001221001221001221,0.0007326007326007326,0.020757020757020756,325.87,-41.25,41.06,pink4
0.0031746031746031746,0.0002442002442002442,0.0007326007326007326,0.0004884004884004884,0.014407814407814409,325.87,-41.13,41.31,pink4
0.0029304029304029304,0.0002442002442002442,0.0,0.0004884004884004884,0.006349206349206349,325.69,-41.13,41.44,pink4
0.002686202686202686,0.0002442002442002442,0.0004884004884004884,0.0002442002442002442,0.0004884004884004884,325.31,-41.06,41.63,pink4
0.002686202686202686,0.0002442002442002442,0.0007326007326007326,0.0002442002442002442,0.006349206349206349,324.62,-40.94,42.0,pink4
0.002686202686202686,0.0004884004884004884,0.0009768009768009768,0.0,0.010256410256410256,321.81,-39.75,43.44,pink4
0.002686202686202686,0.0007326007326007326,0.001221001221001221,0.0,0.013186813186813187,316.56,-39.13,43.69,pink4
0.0031746031746031746,0.0014652014652014652,0.001221001221001221,0.0004884004884004884,0.01514041514041514,309.12,-40.13,44.88,pink4
0.004151404151404151,0.002686202686202686,0.006105006105006105,0.014896214896214897,0.01562881562881563,299.31,-41.0,48.19,pink4
0.004884004884004884,0.00463980463980464,0.02564102564102564,0.03467643467643468,0.01221001221001221,289.81,-40.0,48.69,pink4
0.00805860805860806,0.006837606837606838,0.042002442002442006,0.04932844932844933,0.00757020757020757,284.69,-40.0,49.56,pink4
0.01221001221001221,0.010012210012210013,0.05347985347985348,0.05958485958485959,0.0029304029304029304,282.87,-40.25,49.56,pink4
0.019536019536019536,0.013186813186813187,0.061782661782661785,0.06715506715506715,0.001221001221001221,282.56,-39.88,47.25,pink4
0.024664224664224663,0.01514041514041514,0.0673992673992674,0.07252747252747253,0.004151404151404151,283.0,-40.38,46.5,pink4
0.028327228327228327,0.016605616605616606,0.0713064713064713,0.0761904761904762,0.007326007326007326,286.25,-41.25,48.19,pink4
0.03028083028083028,0.01733821733821734,0.07374847374847375,0.0757020757020757,0.009768009768009768,296.25,-39.31,47.06,pink4
0.02783882783882784,0.01733821733821734,0.07545787545787545,0.073992673992674,0.011233211233211233,305.12,-32.88,44.69,pink4
0.024664224664224663,0.01733821733821734,0.07301587301587302,0.06935286935286936,0.012454212454212455,314.19,-27.06,42.75,pink4
0.020512820512820513,0.01733821733821734,0.0652014652014652,0.06105006105006105,0.016605616605616606,321.62,-25.81,41.19,pink4
0.01611721611721612,0.018803418803418803,0.05445665445665446,0.05128205128205128,0.01978021978021978,326.37,-25.87,42.44,pink4
0.011721611721611722,0.020024420024420026,0.04297924297924298,0.042735042735042736,0.021733821733821733,328.19,-25.87,44.38,pink4
0.008302808302808303,0.021001221001221003,0.033455433455433455,0.03638583638583639,0.01978021978021978,327.75,-26.19,44.75,pink4
