flex1,flex2,flex3,flex4,flex5,x,y,z,face,SIGN
1,1,1,315,1889,320.75,55.63,-25.75,0.236,Xin Chào
0,1,2,961,1889,318.69,55.06,-24.37,0.221,Xin Chào
2,91,2,902,1889,307.5,58.69,-12.06,0.064,Xin Chào
0,4,0,630,1888,292.75,59.75,4.31,0.121,Xin Chào
0,70,3,656,1888,284.0,58.44,14.25,0.241,Xin Chào
1,1,2,731,1889,285.69,59.31,13.63,0.256,Xin Chào
1,1,2,709,1888,296.5,60.88,0.75,0.247,Xin Chào
0,1,1,786,1889,309.5,58.88,-15.0,0.236,Xin Chào
1,10,2,564,1889,314.75,56.31,-23.12,0.233,Xin Chào
2,1,2,304,1889,311.31,57.31,-19.75,0.235,Xin Chào
0,1,2,282,1889,300.94,59.19,-7.31,0.262,Xin Chào
1,3,1,233,1888,288.81,59.06,6.81,0.293,Xin Chào
0,2,3,441,1889,282.81,58.75,14.81,0.344,Xin Chào
0,1,0,492,1888,288.25,60.38,10.19,0.337,Xin Chào
1,1,2,377,1889,303.31,61.06,-8.0,0.29,Xin Chào
0,1,1,248,1888,316.87,56.88,-23.81,0.264,Xin Chào
0,1,2,136,1888,316.12,56.44,-25.56,0.227,Xin Chào
1,2,2,226,1888,304.94,59.56,-12.13,0.229,Xin Chào
1,1,2,171,1888,290.75,59.5,7.0,0.225,Xin Chào
-1,1,2,215,1888,281.87,57.31,17.56,0.228,Xin Chào
2,1,1,220,1889,283.87,58.31,17.25,0.219,Xin Chào
1,1,1,281,1889,296.81,61.31,2.06,0.226,Xin Chào
1,2,1,415,1888,309.75,59.81,-17.69,0.222,Xin Chào
2,0,1,285,1888,311.06,58.81,-24.12,0.231,Xin Chào
0,0,0,356,1889,302.25,61.25,-11.5,0.242,Xin Chào
2,2,2,455,1889,289.12,59.5,9.5,0.247,Xin Chào
1,2,2,556,1889,282.19,56.81,15.94,0.264,Xin Chào
1,2,2,0,1889,285.44,59.0,14.81,0.249,Xin Chào
0,0,0,2,1889,293.0,62.31,8.0,0.253,Xin Chào
1,0,2,1,1888,297.75,63.56,1.56,0.267,Xin Chào
1,0,0,0,1889,298.69,64.06,-0.13,0.201,Xin Chào
1,0,2,1,1889,297.75,64.06,1.12,0.214,Xin Chào
1,1,1,1,1888,296.31,63.81,3.25,0.221,Xin Chào
0,2,1,1,1889,294.69,63.69,5.37,0.218,Xin Chào
1,1,0,2,1888,293.81,63.69,6.81,0.267,Xin Chào
2,1,1,1,1888,295.44,63.38,4.56,0.245,Xin Chào
1,2,4,0,1888,303.0,62.06,-5.87,0.23,Xin Chào
1,2,0,498,1888,315.31,57.19,-20.56,0.207,Xin Chào
1,1,2,974,1889,317.12,56.38,-26.56,0.197,Xin Chào
-1,1,2,1185,1888,309.12,59.63,-17.56,0.202,Xin Chào
1,0,1,1149,1888,296.12,61.19,1.69,0.2,Xin Chào
1,2,2,1233,1889,282.25,58.88,21.12,0.207,Xin Chào
1,1,1,1056,1889,275.06,55.81,30.0,0.214,Xin Chào
0,1,1,1113,1888,281.5,57.25,21.5,0.195,Xin Chào
1,4,10,1548,1904,295.56,57.5,2.44,0.203,Xin Chào
1,309,126,968,1889,307.31,55.88,-12.5,0.221,Xin Chào
3,62,74,559,1889,306.31,55.75,-12.94,0.221,Xin Chào
136,3,3,314,1889,293.44,58.5,0.0,0.204,Xin Chào
439,1,32,262,1889,278.06,55.75,13.31,0.207,Xin Chào
1085,2,2,395,1889,270.5,54.19,18.19,0.208,Xin Chào
917,1,1,344,1889,274.31,55.81,12.5,0.283,Xin Chào
803,3,1,471,1888,289.69,57.31,-6.81,0.226,Xin Chào
229,1,37,385,1888,308.81,55.0,-27.69,0.215,Xin Chào
2,0,157,325,1889,314.62,53.69,-34.13,0.222,Xin Chào
1,2,25,614,1888,306.0,56.81,-22.37,0.21,Xin Chào
0,0,1,596,1889,294.56,56.88,-3.81,0.207,Xin Chào
1,1,1,701,1888,283.0,54.69,10.19,0.209,Xin Chào
1,2,2,971,1888,282.62,54.0,11.13,0.202,Xin Chào
4,0,60,700,1889,295.81,55.5,-2.87,0.207,Xin Chào
2,2,75,530,1889,309.06,53.69,-17.19,0.217,Xin Chào
11,1,45,380,1888,319.56,49.5,-27.0,0.188,Xin Chào
2,1,62,412,1889,316.62,50.0,-25.31,0.177,Xin Chào
0,1,13,242,1888,305.06,54.0,-14.44,0.215,Xin Chào
1,1,2,375,1889,290.0,55.0,0.88,0.215,Xin Chào
1,2,2,535,1889,281.06,52.88,8.31,0.214,Xin Chào
0,2,1,536,1888,285.75,53.5,0.81,0.206,Xin Chào
1,1,2,631,1888,301.75,54.69,-14.63,0.208,Xin Chào
1,3,1,613,1889,320.31,51.94,-27.44,0.198,Xin Chào
2,1,1,838,1888,322.06,49.69,-29.44,0.197,Xin Chào
1,2,1,748,1889,313.31,53.0,-21.12,0.21,Xin Chào
1,1,2,535,1888,298.25,56.13,-4.31,0.104,Xin Chào
0,1,1,25,1888,285.19,53.75,8.94,0.089,Xin Chào
1,2,1,134,1889,287.25,51.69,4.87,0.088,Xin Chào
2,1,2,197,1889,300.19,52.19,-9.13,0.091,Xin Chào
0,0,0,403,1889,313.87,50.0,-23.0,0.091,Xin Chào
1,1,2,576,1888,313.0,50.81,-24.69,0.098,Xin Chào
1,1,2,541,1888,302.31,54.5,-12.25,0.009,Xin Chào
2,1,1,40,1889,287.44,54.69,2.81,0.082,Xin Chào
0,1,2,38,1888,279.25,54.19,11.69,0.067,Xin Chào
1,2,0,55,1888,278.94,54.69,11.88,0.041,Xin Chào
1,1,0,81,1889,286.81,56.06,3.25,0.035,Xin Chào
1,0,2,170,1888,293.94,57.13,-5.56,0.024,Xin Chào
1,3,1,202,1889,296.81,57.75,-8.75,0.02,Xin Chào
2,1,1,304,1888,295.75,57.81,-6.0,0.015,Xin Chào
0,1,1,163,1888,290.06,57.5,2.06,0.037,Xin Chào
2,1,2,153,1888,283.5,57.13,14.25,0.01,Xin Chào
0,2,3,34,1889,276.25,53.69,24.06,0.011,Xin Chào
2,3,1,64,1889,272.06,49.56,24.94,0.019,Xin Chào
1,1,1,116,1888,275.69,51.63,19.81,0.031,Xin Chào
0,1,1,56,1889,290.19,57.44,1.75,0.028,Xin Chào
2,1,120,191,1888,309.56,55.19,-21.69,0.001,Xin Chào
1,1,40,223,1889,314.25,52.5,-28.87,0.013,Xin Chào
1,0,14,343,1888,305.81,56.56,-19.12,0.003,Xin Chào
1,1,26,613,1888,289.81,58.25,1.44,0.018,Xin Chào
2,1,3,355,1888,274.62,55.13,17.75,0.003,Xin Chào
2,2,88,169,1888,268.56,53.19,23.37,0.001,Xin Chào
