flex1,flex2,flex3,flex4,flex5,imu_x,imu_y,imu_z,SIGN
0.01611721611721612,0.05030525030525031,0.0315018315018315,0.002686202686202686,0.022466422466422466,190.31,-30.37,-2.44,xinchao2
0.01611721611721612,0.05030525030525031,0.03223443223443224,0.0031746031746031746,0.015873015873015872,190.44,-30.5,-2.31,xinchao2
0.01611721611721612,0.05030525030525031,0.03296703296703297,0.003418803418803419,0.011477411477411478,190.5,-30.44,-2.25,xinchao2
0.016605616605616606,0.05030525030525031,0.033455433455433455,0.003663003663003663,0.008302808302808303,190.56,-30.37,-2.25,xinchao2
0.01684981684981685,0.050061050061050064,0.03394383394383394,0.003663003663003663,0.006105006105006105,190.62,-30.37,-2.12,xinchao2
0.01733821733821734,0.04957264957264957,0.034432234432234435,0.003907203907203907,0.0002442002442002442,190.62,-30.37,-2.06,xinchao2
0.017582417582417582,0.04932844932844933,0.03492063492063492,0.003907203907203907,0.00805860805860806,190.62,-30.44,-2.0,xinchao2
0.018070818070818073,0.04908424908424908,0.035164835164835165,0.003907203907203907,0.014896214896214897,190.56,-30.37,-2.0,xinchao2
0.018070818070818073,0.04932844932844933,0.035164835164835165,0.003907203907203907,0.019536019536019536,190.56,-30.37,-1.94,xinchao2
0.018070818070818073,0.04957264957264957,0.03492063492063492,0.003418803418803419,0.02271062271062271,190.62,-30.37,-1.94,xinchao2
0.017826617826617826,0.04981684981684982,0.03467643467643468,0.0031746031746031746,0.020512820512820513,190.62,-30.37,-1.94,xinchao2
0.017582417582417582,0.04981684981684982,0.034432234432234435,0.002686202686202686,0.017582417582417582,190.62,-30.37,-1.94,xinchao2
0.017582417582417582,0.050061050061050064,0.034432234432234435,0.002686202686202686,0.009768009768009768,190.62,-30.37,-1.94,xinchao2
0.017094017094017096,0.05030525030525031,0.03418803418803419,0.002442002442002442,0.004151404151404151,190.62,-30.37,-1.94,xinchao2
0.016605616605616606,0.05030525030525031,0.03418803418803419,0.002686202686202686,0.0004884004884004884,190.69,-30.37,-1.94,xinchao2
0.016361416361416362,0.05030525030525031,0.034432234432234435,0.002686202686202686,0.002442002442002442,190.87,-30.56,-2.0,xinchao2
0.01611721611721612,0.050061050061050064,0.03492063492063492,0.0029304029304029304,0.0019536019536019536,191.81,-31.06,-2.0,xinchao2
0.01611721611721612,0.04981684981684982,0.035164835164835165,0.0029304029304029304,0.0014652014652014652,195.12,-32.81,-0.69,xinchao2
0.01611721611721612,0.04981684981684982,0.035164835164835165,0.0031746031746031746,0.0014652014652014652,200.94,-35.13,2.25,xinchao2
0.016361416361416362,0.04981684981684982,0.03540903540903541,0.003418803418803419,0.001221001221001221,208.44,-37.25,7.56,xinchao2
0.016361416361416362,0.050061050061050064,0.03540903540903541,0.003663003663003663,0.001221001221001221,215.62,-39.19,12.88,xinchao2
0.01611721611721612,0.050061050061050064,0.03565323565323565,0.004151404151404151,0.0009768009768009768,218.81,-42.13,16.69,xinchao2
0.01611721611721612,0.050061050061050064,0.035897435897435895,0.004395604395604396,0.0009768009768009768,215.37,-45.38,15.25,xinchao2
0.01611721611721612,0.050061050061050064,0.03638583638583639,0.004884004884004884,0.0002442002442002442,208.69,-46.25,7.94,xinchao2
0.015873015873015872,0.050061050061050064,0.03663003663003663,0.004884004884004884,0.007081807081807082,203.37,-45.94,1.75,xinchao2
0.015873015873015872,0.04981684981684982,0.036874236874236875,0.005128205128205128,0.014163614163614164,205.06,-46.44,3.69,xinchao2
0.015873015873015872,0.04908424908424908,0.03711843711843712,0.005372405372405372,0.02026862026862027,212.31,-46.25,12.31,xinchao2
0.015873015873015872,0.0485958485958486,0.036874236874236875,0.005372405372405372,0.024664224664224663,219.06,-45.56,20.25,xinchao2
0.015873015873015872,0.04835164835164835,0.03638583638583639,0.005616605616605617,0.027594627594627594,218.25,-46.31,20.25,xinchao2
0.015873015873015872,0.0485958485958486,0.035897435897435895,0.005616605616605617,0.023687423687423687,213.0,-46.63,13.94,xinchao2
0.01562881562881563,0.04884004884004884,0.03492063492063492,0.005616605616605617,0.018803418803418803,207.62,-46.0,7.31,xinchao2
0.015384615384615385,0.04908424908424908,0.03418803418803419,0.005372405372405372,0.010500610500610501,207.37,-45.88,6.69,xinchao2
0.015384615384615385,0.04932844932844933,0.03321123321123321,0.005372405372405372,0.001221001221001221,212.19,-45.5,12.81,xinchao2
0.01514041514041514,0.04957264957264957,0.032722832722832725,0.005372405372405372,0.008791208791208791,217.81,-45.31,18.31,xinchao2
0.014896214896214897,0.04981684981684982,0.03223443223443224,0.005616605616605617,0.01562881562881563,217.75,-45.44,18.69,xinchao2
0.01514041514041514,0.04981684981684982,0.03223443223443224,0.005860805860805861,0.020512820512820513,212.37,-45.63,12.69,xinchao2
0.01514041514041514,0.050061050061050064,0.033455433455433455,0.006105006105006105,0.01684981684981685,206.87,-45.69,5.87,xinchao2
0.015384615384615385,0.050061050061050064,0.03418803418803419,0.006349206349206349,0.014407814407814409,207.37,-46.44,6.31,xinchao2
0.01562881562881563,0.04981684981684982,0.03540903540903541,0.006593406593406593,0.012698412698412698,213.5,-46.69,12.5,xinchao2
0.015873015873015872,0.04981684981684982,0.03638583638583639,0.006593406593406593,0.011477411477411478,219.06,-45.94,17.56,xinchao2
0.015873015873015872,0.04932844932844933,0.03711843711843712,0.006837606837606838,0.005860805860805861,218.81,-44.75,17.81,xinchao2
0.01611721611721612,0.04908424908424908,0.03736263736263736,0.007081807081807082,0.0014652014652014652,211.87,-44.81,10.75,xinchao2
0.01611721611721612,0.04908424908424908,0.037606837606837605,0.007081807081807082,0.0031746031746031746,206.62,-45.63,6.06,xinchao2
0.01611721611721612,0.04932844932844933,0.037606837606837605,0.007081807081807082,0.004395604395604396,206.81,-47.88,6.56,xinchao2
0.01611721611721612,0.04932844932844933,0.03663003663003663,0.006593406593406593,0.004151404151404151,213.19,-49.0,13.0,xinchao2
