flex1,flex2,flex3,flex4,flex5,x,y,z,face,SIGN
2482,6944,8452,1,1952,52.69,-38.44,26.75,0.004,Tôi
6780,7247,7899,1,2032,68.94,-27.87,58.75,0.004,Tôi
7372,7253,6910,2,2192,107.25,-3.44,81.0,0.006,Tôi
6904,6903,6779,2,2257,154.87,21.19,83.31,0.005,Tôi
6778,6839,6498,67,2320,197.94,38.13,67.69,0.005,Tôi
6744,6237,6448,23,2320,223.81,38.56,47.06,0.005,Tôi
5353,5658,5951,12,2320,238.37,34.94,39.06,0.005,Tôi
5588,5099,5239,169,2353,246.31,32.88,36.88,0.152,Tôi
5470,5302,5369,27,2304,250.5,29.69,36.44,0.026,Tôi
5142,4982,4331,919,2320,255.37,28.69,37.88,0.08,Tôi
5432,4683,3839,437,2352,255.31,25.44,36.75,0.167,Tôi
5137,4670,3724,741,2353,253.25,20.19,33.69,0.009,Tôi
5242,4430,3989,475,2353,253.69,19.0,32.81,0.005,Tôi
4695,4130,4067,45,2224,254.06,19.94,34.25,0.004,Tôi
4393,4117,3937,442,2113,252.69,21.87,34.88,0.008,Tôi
3993,3992,3113,22,2129,249.56,24.87,34.0,0.056,Tôi
3827,3540,2985,1,2080,238.44,29.44,33.13,0.004,Tôi
988,3607,3191,2,2001,208.19,33.56,37.38,0.029,Tôi
157,3057,1912,0,1888,171.44,29.06,30.25,0.025,Tôi
1,1528,6,92,1888,150.62,15.06,15.75,0.022,Tôi
10,1,0,232,1888,135.94,3.75,9.75,0.03,Tôi
-1,471,4,164,1888,124.37,-8.81,9.63,0.034,Tôi
79,140,4,492,1888,116.25,-21.75,10.13,0.027,Tôi
343,294,2,164,1888,110.31,-31.0,12.44,0.013,Tôi
1,127,87,16,1889,105.12,-39.56,14.31,0.015,Tôi
0,1,1,13,1889,99.0,-46.63,18.19,0.011,Tôi
0,1,2,18,1888,91.75,-53.56,22.25,0.007,Tôi
2,1,0,15,1889,87.19,-61.5,23.31,0.007,Tôi
0,0,1,2,1889,83.69,-68.5,20.31,0.005,Tôi
0,1,1,0,1888,91.19,-70.0,12.5,0.005,Tôi
0,2,1,8,1888,92.06,-70.06,8.38,0.006,Tôi
1,0,2,1,1889,92.94,-70.81,8.13,0.01,Tôi
1,1,2,1,1888,89.5,-71.62,6.62,0.005,Tôi
0,0,2,-1,1888,88.12,-70.62,5.12,0.007,Tôi
2,2,2,1,1889,91.69,-70.75,3.87,0.013,Tôi
0,1,1,1,1888,91.75,-70.25,3.0,0.022,Tôi
1,0,1,0,1888,93.37,-68.25,3.56,0.009,Tôi
0,0,1,0,1889,94.12,-68.62,5.75,0.044,Tôi
