flex1,flex2,flex3,flex4,flex5,x,y,z,face,SIGN
1571,4848,7364,80,2081,239.44,65.31,-27.62,0.001,Hẹn Hò
2317,4785,7417,38,2065,237.87,64.94,-24.94,0.004,Hẹn Hò
2197,4850,7568,16,2081,238.62,65.37,-23.62,0.004,Hẹn Hò
1880,4229,5386,11,2016,236.87,69.5,-21.56,0.003,Hẹn Hò
672,3589,2892,1,1888,231.75,81.69,-35.19,0.004,Hẹn Hò
10,3718,1324,10,1904,228.25,84.75,-3.12,0.002,Hẹn Hò
360,3646,5,416,1905,218.44,85.25,-0.31,0.002,Hẹn Hò
245,5137,5,521,1921,203.5,82.94,68.37,0.002,Hẹn Hò
306,4578,9,732,1936,193.44,75.31,77.75,0.002,Hẹn Hò
599,5202,-5,849,1936,184.5,66.94,82.5,0.002,Hẹn Hò
933,4711,8,641,1937,182.0,63.5,86.56,0.002,Hẹn Hò
981,4665,-4,577,1936,183.06,64.75,82.87,0.001,Hẹn Hò
1068,5065,9,590,1937,184.87,67.37,75.12,0.002,Hẹn Hò
760,4921,-7,415,1937,184.06,68.44,64.75,0.003,Hẹn Hò
399,5161,9,208,1904,178.75,67.19,53.69,0.003,Hẹn Hò
392,4326,-7,9,1904,169.31,62.06,50.88,0.003,Hẹn Hò
17,3609,-3,4,1888,153.19,50.94,57.06,0.002,Hẹn Hò
8,1446,6,0,1889,143.19,36.75,56.25,0.076,Hẹn Hò
-5,9,-5,10,1888,133.06,18.12,53.5,0.002,Hẹn Hò
10,-3,4,1,1888,121.12,-0.37,55.25,0.113,Hẹn Hò
-3,4,0,4,1889,113.19,-17.75,57.31,0.04,Hẹn Hò
6,-4,4,1,1889,105.12,-30.69,65.25,0.045,Hẹn Hò
-4,6,-2,9,1889,98.37,-44.94,70.31,0.002,Hẹn Hò
6,-3,3,1,1889,96.19,-60.38,85.62,0.01,Hẹn Hò
32,4,-1,3,1888,107.0,-65.62,101.06,0.108,Hẹn Hò
1,0,1,8,1888,105.25,-67.31,95.5,0.065,Hẹn Hò
4,2,3,0,1889,105.81,-66.69,97.87,0.014,Hẹn Hò
1,2,3,7,1889,105.87,-66.56,97.81,0.004,Hẹn Hò
3,4,5,-2,1889,103.56,-66.87,95.69,0.009,Hẹn Hò
-5,2,-3,12,1889,101.44,-67.31,92.44,0.109,Hẹn Hò
4,1,2,-3,1889,100.56,-67.12,91.81,0.13,Hẹn Hò
-2,-1,1,12,1889,99.94,-66.87,89.25,0.113,Hẹn Hò
5,-1,4,1,1888,99.25,-66.44,87.56,0.12,Hẹn Hò
-6,5,-3,13,1889,98.06,-65.94,86.5,0.118,Hẹn Hò
13,-2,8,-2,1889,95.81,-64.12,88.0,0.087,Hẹn Hò
-10,7,-5,15,1888,95.75,-61.63,85.62,0.079,Hẹn Hò
14,-4,7,-3,1888,95.37,-60.19,82.87,0.087,Hẹn Hò
-11,6,-5,15,1889,95.37,-60.31,82.31,0.029,Hẹn Hò
15,-5,8,-4,1888,95.5,-61.0,83.69,0.007,Hẹn Hò
7,-5,4,1,1888,94.87,-61.88,84.31,0.004,Hẹn Hò
-4,5,-1,4,1888,94.31,-62.0,83.81,0.003,Hẹn Hò
7,-3,6,1,1889,94.56,-61.5,83.31,0.002,Hẹn Hò
-1,4,-1,5,1888,94.87,-61.19,82.94,0.003,Hẹn Hò
1,0,1,4,1889,94.69,-61.25,82.37,0.002,Hẹn Hò
0,2,0,3,1889,94.5,-61.44,82.5,0.003,Hẹn Hò
7,-2,3,4,1889,94.5,-61.56,82.81,0.004,Hẹn Hò
-2,4,0,6,1889,94.5,-61.44,82.5,0.003,Hẹn Hò
-1,1,2,7,1888,94.0,-61.31,82.0,0.023,Hẹn Hò
4,3,3,-2,1888,93.75,-61.44,82.0,0.047,Hẹn Hò
-4,3,-2,10,1888,93.87,-61.25,82.31,0.005,Hẹn Hò
11,-3,7,-3,1889,94.25,-60.94,82.06,0.1,Hẹn Hò
-10,6,-5,14,1888,94.0,-61.06,82.0,0.058,Hẹn Hò
14,-3,8,-7,1889,93.87,-61.38,82.44,0.085,Hẹn Hò
-11,5,-6,13,1888,93.81,-61.5,82.56,0.004,Hẹn Hò
13,-3,6,-5,1889,94.0,-61.13,82.31,0.113,Hẹn Hò
-11,6,-6,13,1888,94.19,-60.75,81.62,0.07,Hẹn Hò
13,-3,7,-5,1889,94.12,-60.81,81.69,0.056,Hẹn Hò
-13,8,-8,11,1889,94.19,-61.13,82.31,0.015,Hẹn Hò
12,-5,9,-4,1888,94.31,-61.0,82.25,0.047,Hẹn Hò
-12,8,-6,12,1889,94.37,-60.63,81.5,0.048,Hẹn Hò
17,-4,7,-4,1889,94.31,-60.69,81.37,0.07,Hẹn Hò
-14,7,-5,12,1888,94.06,-61.06,82.0,0.043,Hẹn Hò
1,1,1,0,1889,94.0,-61.19,81.87,0.003,Hẹn Hò
0,2,0,10,1889,93.94,-61.06,81.44,0.058,Hẹn Hò
1,3,2,1,1888,94.0,-60.94,81.75,0.077,Hẹn Hò
-2,3,-2,11,1888,94.12,-60.75,82.25,0.005,Hẹn Hò
9,0,6,-5,1889,94.81,-60.63,82.37,0.005,Hẹn Hò
-2,1,-2,12,1889,96.62,-60.81,82.56,0.006,Hẹn Hò
6,1,4,-1,1889,98.06,-60.88,82.25,0.008,Hẹn Hò
1,0,0,11,1888,97.31,-61.94,82.44,0.004,Hẹn Hò
5,-1,4,-3,1888,95.62,-63.63,84.06,0.003,Hẹn Hò
-7,5,-4,13,1888,95.31,-63.75,84.0,0.001,Hẹn Hò
