flex1,flex2,flex3,flex4,flex5,x,y,z,face,SIGN
135,-1,2,1,1920,15.0,-13.0,41.25,0.004,Tôi
115,-3,1,0,1905,15.06,-12.94,41.25,0.001,Tôi
245,2,1,1,1921,15.06,-12.88,41.25,0.001,Tôi
92,0,1,2,1905,15.06,-12.94,41.38,0.001,Tôi
112,1,0,1,1920,15.06,-13.13,41.31,0.003,Tôi
134,0,0,1,1920,15.25,-13.25,41.19,0.006,Tôi
135,1,2,2,1904,15.06,-13.5,41.56,0.003,Tôi
4,-1,1,2,1905,14.69,-14.63,41.88,0.004,Tôi
0,-1,1,0,1920,15.38,-15.5,39.63,0.004,Tôi
-2,0,-1,1,1920,13.5,-16.44,33.06,0.003,Tôi
-2,-1,2,1,1904,5.87,-18.75,26.19,0.004,Tôi
0,-1,1,2,1921,354.81,-18.62,21.87,0.003,Tôi
4,-1,2,1,1920,342.31,-18.37,20.19,0.004,Tôi
0,1,2,1,1920,329.81,-23.31,18.12,0.004,Tôi
2,-1,0,1,1921,317.44,-32.75,13.88,0.003,Tôi
2,0,0,65,1904,302.06,-46.31,4.62,0.004,Tôi
4,0,1,0,1904,298.37,-45.44,4.25,0.004,Tôi
0,1,1,1,1920,296.06,-43.38,9.69,0.004,Tôi
0,-1,1,5,1920,295.81,-43.88,7.44,0.004,Tôi
0,-2,1,4,1936,295.19,-44.0,6.25,0.004,Tôi
1,-1,1,388,1921,295.06,-42.81,5.25,0.003,Tôi
3,-1,3,97,1904,294.75,-40.75,8.81,0.004,Tôi
0,0,0,460,1920,296.56,-37.5,15.44,0.002,Tôi
-1,-1,578,229,1921,300.0,-34.13,19.19,0.002,Tôi
117,0,293,352,1904,304.0,-31.94,23.94,0.001,Tôi
169,0,1441,3,1904,307.75,-29.0,22.69,0.002,Tôi
672,0,5006,2,1937,311.62,-28.75,17.19,0.002,Tôi
329,0,6564,3,2001,313.87,-28.37,13.63,0.002,Tôi
1475,1,5098,1,2048,316.75,-27.0,10.63,0.003,Tôi
2022,-1,5325,0,2033,320.5,-26.56,12.44,0.002,Tôi
1547,0,4910,1,2049,322.94,-25.69,13.19,0.005,Tôi
1599,-1,5061,1,2048,325.56,-25.44,12.63,0.004,Tôi
1529,-2,5005,3,2048,327.25,-24.12,13.94,0.002,Tôi
1032,0,5277,2,2049,327.94,-22.81,15.75,0.004,Tôi
981,0,5593,5,2064,330.37,-21.75,15.44,0.005,Tôi
1439,1,5435,4,2080,332.0,-21.19,15.81,0.002,Tôi
1223,-2,7090,2,2065,332.56,-22.06,15.31,0.002,Tôi
935,0,9215,1,2064,331.06,-20.44,14.75,0.004,Tôi
583,1,9400,2,2064,331.06,-19.81,14.69,0.004,Tôi
411,1,10113,3,2048,330.75,-20.44,16.44,0.005,Tôi
594,0,10621,1,2064,330.62,-21.12,15.81,0.004,Tôi
509,1,10545,0,2080,329.81,-21.06,15.5,0.002,Tôi
767,0,10868,2,2080,327.94,-20.56,16.69,0.004,Tôi
580,-2,11027,1,2048,327.75,-20.0,16.75,0.004,Tôi
198,-2,9862,2,2049,328.25,-19.31,18.69,0.002,Tôi
192,1,9031,0,2049,328.25,-18.69,20.5,0.003,Tôi
147,-1,9906,0,2064,328.37,-18.37,20.44,0.002,Tôi
135,0,9811,-1,2064,328.25,-18.94,20.06,0.001,Tôi
135,-2,9894,2,2048,327.44,-20.44,20.19,0.002,Tôi
108,-1,10031,1,2048,326.25,-22.37,21.56,0.002,Tôi
164,-1,10664,3,2048,326.06,-23.06,20.75,0.001,Tôi
130,0,10085,3,2065,326.0,-21.87,19.44,0.002,Tôi
100,-1,9308,2,2065,325.81,-20.37,19.75,0.003,Tôi
108,-1,10134,0,2080,325.87,-19.94,20.44,0.001,Tôi
87,0,10247,2,2065,326.19,-19.81,20.62,0.004,Tôi
61,1,9870,3,2048,326.56,-19.37,20.25,0.005,Tôi
131,-1,9532,1,2049,327.0,-19.06,19.81,0.003,Tôi
38,0,7776,1,2033,327.0,-19.31,20.56,0.002,Tôi
1,0,3404,5,2016,320.94,-20.31,27.87,0.001,Tôi
2,-2,3208,2,2017,315.0,-22.06,27.87,0.003,Tôi
3,-1,4028,3,2032,305.06,-25.0,32.19,0.003,Tôi
2,0,4191,1,2032,294.5,-29.44,30.19,0.001,Tôi
1,1,4115,1,2032,291.75,-34.06,21.5,0.001,Tôi
0,-1,3854,171,2017,295.12,-34.38,14.69,0.001,Tôi
1,0,4108,323,2033,294.44,-34.75,15.31,0.002,Tôi
0,-1,3957,364,2016,293.81,-36.81,15.44,0.001,Tôi
7,-2,7363,139,2000,291.37,-36.75,13.31,0.001,Tôi
21,-1,8520,71,2000,290.56,-36.13,11.75,0.002,Tôi
81,-2,8306,229,2016,290.87,-36.44,11.94,0.003,Tôi
49,1,8555,253,2016,291.62,-37.44,13.13,0.003,Tôi
1,-1,8430,531,2017,292.19,-38.13,14.94,0.001,Tôi
2,-1,6857,606,2017,292.06,-38.25,15.0,0.002,Tôi
2,-1,6470,561,2016,291.62,-38.31,15.19,0.002,Tôi
2,-1,6307,289,2017,291.56,-38.5,15.0,0.002,Tôi
-1,-1,6876,285,2016,291.75,-38.94,14.63,0.002,Tôi
2,-1,7054,408,2000,291.75,-39.19,13.75,0.001,Tôi
47,-1,7162,282,2000,291.81,-39.0,13.31,0.001,Tôi
57,0,6885,780,2001,291.75,-38.81,12.13,0.002,Tôi
234,0,5294,694,2000,291.31,-38.69,11.63,0.003,Tôi
605,0,4580,14,2016,288.19,-37.88,23.0,0.001,Tôi
266,1,4947,37,2001,300.69,-31.44,37.13,0.002,Tôi
205,-1,3911,3,2000,320.12,-19.62,53.5,0.001,Tôi
11,0,3828,1,2000,352.12,-5.87,62.5,0.0,Tôi
3,-1,3645,451,2017,25.75,7.44,67.25,0.002,Tôi
0,-2,3785,108,2049,61.94,21.0,65.62,0.003,Tôi
0,-1,4158,293,2065,93.31,27.19,54.31,0.004,Tôi
0,1,3127,145,2064,116.81,25.25,44.69,0.002,Tôi
0,-2,3116,1,2064,133.75,20.62,42.5,0.003,Tôi
2,-1,2976,33,2064,147.06,17.0,44.25,0.003,Tôi
2,0,3325,1,2049,145.44,20.12,46.19,0.003,Tôi
4,-1,3604,1,2064,139.87,22.31,47.06,0.003,Tôi
1,0,2946,2,2048,145.5,20.44,44.19,0.003,Tôi
1,-2,3310,1,2064,148.19,19.87,45.25,0.002,Tôi
2,0,3038,0,2081,142.19,21.87,48.31,0.0,Tôi
1,-1,2805,0,2049,144.37,24.25,49.75,0.002,Tôi
0,-1,2863,2,2048,150.5,21.62,49.5,0.001,Tôi
3,-1,3352,0,2064,146.0,21.81,46.88,0.003,Tôi
2,0,3246,1,2081,138.69,25.37,48.19,0.001,Tôi
2,-2,2858,0,2032,125.75,24.12,45.75,0.001,Tôi
1,1,1653,1,2017,106.81,19.25,40.75,0.001,Tôi
3,-1,2445,32,1953,83.44,14.88,30.62,0.003,Tôi
1,-2,3012,245,1953,67.19,11.31,21.44,0.006,Tôi
0,1,3320,639,1969,56.44,9.06,16.62,0.006,Tôi
1,0,3864,853,1953,46.0,7.56,16.0,0.002,Tôi
1,-1,3693,390,1953,33.13,7.37,14.25,0.001,Tôi
-2,1,2205,130,2000,13.69,9.75,9.44,0.002,Tôi
1,0,2379,155,2000,358.19,5.0,9.56,0.003,Tôi
1,1,2317,253,1985,343.69,-3.94,12.56,0.003,Tôi
1,-1,1640,3,1952,329.44,-13.25,14.0,0.003,Tôi
0,0,1049,1,2001,315.81,-19.12,15.19,0.003,Tôi
1,-1,1608,3,2001,306.75,-24.62,12.25,0.003,Tôi
3,-1,1521,0,1968,298.31,-30.62,9.56,0.002,Tôi
1,-1,1466,1,1953,294.06,-33.75,4.25,0.003,Tôi
2,-3,2250,4,1936,294.19,-35.56,0.75,0.002,Tôi
2,-1,2604,122,1937,291.31,-36.31,2.5,0.003,Tôi
2,0,3193,4,1936,289.12,-37.31,5.81,0.002,Tôi
2,0,3850,0,1952,289.0,-37.13,6.62,0.007,Tôi
1,-1,4093,2,1936,288.87,-37.44,7.19,0.001,Tôi
2,0,3866,2,1936,288.69,-37.5,7.62,0.001,Tôi
0,-1,3572,2,1937,288.44,-37.44,8.06,0.002,Tôi
0,0,3727,1,1953,288.19,-37.44,8.31,0.001,Tôi
-1,0,3656,-1,1936,288.12,-37.44,8.38,0.002,Tôi
1,0,4343,2,1937,288.12,-37.38,8.56,0.002,Tôi
0,1,4562,53,1937,288.06,-37.25,8.5,0.002,Tôi
-1,0,4580,77,1937,288.0,-37.06,8.31,0.002,Tôi
2,-1,4195,151,1953,287.87,-37.06,8.13,0.002,Tôi
2,0,4124,119,1937,287.81,-37.13,8.13,0.001,Tôi
0,-1,3943,230,1936,287.69,-37.13,8.13,0.001,Tôi
2,0,4269,145,1936,287.5,-37.06,8.19,0.001,Tôi
0,0,4391,241,1937,287.44,-37.0,8.19,0.001,Tôi
1,0,4560,246,1952,287.44,-36.94,8.19,0.001,Tôi
1,0,4780,265,1936,287.31,-36.88,8.25,0.004,Tôi
2,0,5229,345,1936,287.37,-36.88,8.44,0.003,Tôi
3,0,5067,310,1937,287.37,-36.81,8.56,0.003,Tôi
0,-1,5277,290,1953,287.37,-36.75,8.63,0.001,Tôi
2,0,5631,299,1936,287.31,-36.75,8.69,0.002,Tôi
2,0,6003,308,1937,287.31,-36.63,8.75,0.004,Tôi
1,-1,5597,284,1937,287.31,-36.56,8.75,0.001,Tôi
1,1,5656,287,1936,287.31,-36.56,8.69,0.001,Tôi
1,0,5638,277,1952,287.31,-36.5,8.63,0.004,Tôi
0,0,5710,225,1936,287.31,-36.5,8.63,0.001,Tôi
2,-3,4315,178,1936,287.19,-36.56,8.81,0.002,Tôi
1,0,5096,170,1936,286.87,-36.69,10.06,0.003,Tôi
1,0,5385,253,1952,286.81,-36.69,10.13,0.003,Tôi
0,-1,5733,260,1936,286.87,-36.69,10.06,0.001,Tôi
2,0,5521,273,1937,286.87,-36.69,9.94,0.001,Tôi
