flex1,flex2,flex3,flex4,flex5,x,y,z,face,SIGN
22.0,1.0,2.0,2.0,1889.0,158.94,-12.63,20.25,0.003,Tôi
1.0,1.0,1.0,2.0,1889.0,159.0,-12.56,20.31,0.003,Tôi
30.0,0.0,1.0,1.0,1889.0,158.81,-12.56,20.25,0.004,Tôi
7.0,2.0,0.0,0.0,1888.0,158.69,-12.63,20.37,0.005,Tôi
2.0,3.0,2.0,2.0,1888.0,158.5,-12.75,20.25,0.007,Tôi
44.0,0.0,2.0,1.0,1889.0,158.0,-12.81,20.0,0.062,Tôi
4.0,2.0,1.0,2.0,1889.0,157.75,-12.19,20.87,0.242,Tôi
1.0,1.0,1.0,1.0,1889.0,158.75,-11.13,22.94,0.362,Tôi
58.0,1.0,2.0,2.0,1889.0,159.94,-11.44,21.87,0.346,Tôi
0.0,0.0,0.0,0.0,1888.0,160.12,-10.69,19.25,0.344,Tôi
0.0,1.0,2.0,1.0,1888.0,159.25,-5.5,10.5,0.214,Tôi
0.0,1.0,2.0,0.0,1889.0,157.44,-1.81,5.44,0.089,Tôi
1.0,2.0,1.0,1.0,1888.0,156.19,2.56,4.19,0.115,Tôi
14.0,2.0,1.0,1.0,1889.0,154.56,4.44,2.25,0.107,Tôi
8.0,2.0,1.0,2.0,1889.0,151.94,2.25,-0.37,0.093,Tôi
36.0,2.0,1.0,2.0,1888.0,151.19,-1.81,-4.19,0.047,Tôi
14.0,2.0,2.0,1.0,1888.0,154.19,-7.5,-9.5,0.065,Tôi
58.0,2.0,1.0,1.0,1888.0,158.94,-12.81,-15.69,0.076,Tôi
46.0,1.0,0.0,1.0,1888.0,164.06,-17.31,-21.69,0.075,Tôi
61.0,1.0,0.0,1.0,1888.0,169.0,-23.06,-28.81,0.004,Tôi
75.0,2.0,1.0,1.0,1889.0,170.12,-25.37,-31.75,0.063,Tôi
116.0,1.0,1.0,1.0,1888.0,166.87,-24.81,-34.31,0.026,Tôi
30.0,1.0,-1.0,0.0,1889.0,165.62,-22.37,-30.87,0.031,Tôi
34.0,-1.0,-1.0,1.0,1888.0,162.94,-17.81,-27.06,0.125,Tôi
27.0,2.0,0.0,1.0,1889.0,159.87,-13.19,-22.87,0.076,Tôi
20.567571948033496,0.9348896340015224,1.869779268003045,1.869779268003045,1766.006518628876,148.59135842820197,-11.80765607743923,18.93151508853083,0.0028046689020045,Tôi
0.9348896340015224,0.9348896340015224,0.9348896340015224,1.869779268003045,1766.006518628876,148.64745180624206,-11.742213803059125,18.98760846657092,0.0028046689020045,Tôi
28.04668902004568,0.0,0.9348896340015224,0.9348896340015224,1766.006518628876,148.46982277578178,-11.742213803059125,18.93151508853083,0.003739558536006,Tôi
6.544227438010657,1.869779268003045,0.0,0.0,1765.0716289948743,148.3576360197016,-11.80765607743923,19.04370184461101,0.0046744481700076,Tôi
1.869779268003045,2.8046689020045674,1.869779268003045,1.869779268003045,1765.0716289948743,148.18000698924132,-11.91984283351941,18.93151508853083,0.0065442274380106,Tôi
41.13514389606699,0.0,1.869779268003045,0.9348896340015224,1766.006518628876,147.71256217224055,-11.975936211559503,18.69779268003045,0.0579631573080943,Tôi
3.73955853600609,1.869779268003045,0.9348896340015224,1.869779268003045,1766.006518628876,147.47883976374018,-11.396304638478558,19.51114666161177,0.2262432914283684,Tôi
0.9348896340015224,0.9348896340015224,0.9348896340015224,0.9348896340015224,1766.006518628876,148.4137293977417,-10.405321626436946,21.446368203994925,0.3384300475085511,Tôi
54.2235987720883,0.9348896340015224,1.869779268003045,1.869779268003045,1766.006518628876,149.5262480622035,-10.695137412977417,20.446036295613297,0.3234718133645267,Tôi
0.0,0.0,0.0,0.0,1765.0716289948743,149.69452819632377,-9.993970187476275,17.99662545452931,0.3216020340965237,Tôi
0.0,0.9348896340015224,1.869779268003045,0.9348896340015224,1765.0716289948743,148.88117421474246,-5.141892987008374,9.816341157015986,0.2000663816763258,Tôi
0.0,0.9348896340015224,1.869779268003045,0.0,1766.006518628876,147.1890239771997,-1.6921502375427555,5.085799608968283,0.0832051774261355,Tôi
0.9348896340015224,1.869779268003045,0.9348896340015224,0.9348896340015224,1765.0716289948743,146.0204119346978,2.3933174630438976,3.9171875664663793,0.107512307910175,Tôi
13.088454876021316,1.869779268003045,0.9348896340015224,0.9348896340015224,1766.006518628876,144.49654183127532,4.15090997496676,2.1035016765034253,0.1000331908381629,Tôi
7.47911707201218,1.869779268003045,0.9348896340015224,1.869779268003045,1766.006518628876,142.0471309901913,2.1035016765034253,-0.3459091645805633,0.0869447359621415,Tôi
33.656026824054806,1.869779268003045,0.9348896340015224,1.869779268003045,1765.0716289948743,141.34596376469017,-1.6921502375427555,-3.9171875664663793,0.0439398127980715,Tôi
13.088454876021316,1.869779268003045,1.869779268003045,0.9348896340015224,1765.0716289948743,144.15063266669475,-7.011672255011419,-8.881451523014464,0.0607678262100989,Tôi
54.2235987720883,1.869779268003045,0.9348896340015224,0.9348896340015224,1765.0716289948743,148.59135842820197,-11.975936211559503,-14.668418357483889,0.0710516121841157,Tôi
43.00492316407004,0.9348896340015224,0.0,0.9348896340015224,1765.0716289948743,153.37799335428977,-16.182939564566354,-20.277756161493024,0.0701167225501141,Tôi
57.02826767409288,0.9348896340015224,0.0,0.9348896340015224,1765.0716289948743,157.9963481462573,-21.558554960075107,-26.934170355583863,0.003739558536006,Tôi
70.11672255011419,1.869779268003045,0.9348896340015224,0.9348896340015224,1766.006518628876,159.04342453633902,-23.718150014618622,-29.68274587954834,0.0588980469420959,Tôi
108.4471975441766,0.9348896340015224,0.9348896340015224,0.9348896340015224,1765.0716289948743,156.00503322583407,-23.194611819577773,-32.076063342592235,0.0243071304840395,Tôi
28.04668902004568,0.9348896340015224,-0.9348896340015224,0.0,1766.006518628876,154.83642118333216,-20.913481112614058,-28.860043001627,0.0289815786540471,Tôi
31.78624755605176,-0.9348896340015224,-0.9348896340015224,0.9348896340015224,1765.0716289948743,152.33091696420806,-16.650384381567115,-25.2981134960812,0.1168612042501903,Tôi
25.242020118041108,1.869779268003045,0.0,0.9348896340015224,1766.006518628876,149.4608057878234,-12.33119427248008,-21.38092592961482,0.0710516121841157,Tôi
29.995508615798112,0.0024891279927039,1.0224856339905488,0.9831068517875842,1889.0161198496885,158.78619191558104,-12.56891454662886,20.24489279768807,0.0284386544263365,Tôi
7.028261564779507,1.988066936975298,-0.0280640940187142,0.0065933544063321,1888.0191478648449,158.72944606639507,-12.625309309986626,20.35183731537412,-0.0390909612385133,Tôi
1.9917492628840736,2.963197157422413,1.9801420036415056,1.9603874362841929,1887.9920854351903,158.48346723108097,-12.760892840057831,20.261023527066463,-0.0140745182187779,Tôi
44.01483661180761,-0.0110540992736702,2.020407923841669,0.9610562416961176,1888.968181773164,157.99621520885603,-12.813257065793126,19.983741585377256,0.0590353364764909,Tôi
4.024183334785495,1.982271742725803,1.009956221711118,1.979012113665165,1888.9772454530892,157.7486281284605,-12.187134056298666,20.876084799600463,0.2264256150895355,Tôi
0.9895277007324308,0.9887560586833514,1.0068358291004122,1.003645799857208,1889.007301450868,158.7588660831415,-11.158965330719306,22.936454760754597,0.3313648622886205,Tôi
58.01437519603531,0.9814835721709968,2.0171382747867885,1.9956475792416464,1888.9748337523365,159.9725049888522,-11.420014345042992,21.84830457617023,0.3743114288603917,Tôi
-0.0001429794902928,0.0269035019444107,-0.0347056984900155,0.0196954279511729,1888.024046341148,160.1219561866721,-10.70274665787666,19.257199248087584,0.3493554256837433,Tôi
0.0194381897009413,0.9539984562820164,1.9844929809497,0.9837387841352858,1888.0356303153656,159.21277356723357,-5.503644898813009,10.528294654629253,0.2408870093570635,Tôi
0.0059963673659518,0.9754471601433554,1.9705958742369256,-0.015368944325771,1889.002847962908,157.4468952951686,-1.8089616420707528,5.445012768669471,0.0612533756439063,Tôi
1.019751564891122,1.9974520018505888,1.0021299255823986,0.9874819558236412,1887.9854469370584,156.20451522119848,2.5976982971592464,4.193923529294647,0.118399887897596,Tôi
13.96497839220238,1.9829572284214176,1.0112366951438638,1.010357125074246,1889.0187310498936,154.56276727872725,4.4568201901512605,2.258889660457779,0.1053710034116987,Tôi
7.992464720210344,2.0143416959653613,1.0018007686557486,2.0073678761135345,1889.0006715416807,151.96541835678786,2.2551979588893367,-0.377447036898359,0.0912300731581542,Tôi
36.00771017794282,1.9905820786530888,0.9992980001214408,1.9875440953385948,1887.9948065376664,151.1997740113061,-1.79840409287805,-4.223315293604971,0.0587554203688592,Tôi
